"Gene.Symbol","GSM9098","GSM9099","GSM9100","GSM9101","GSM9102","first","second","third"
"SART1",177,182.2,134,168,147.8,"SART1",NA,NA
"ILF2",257.6,167.9,194.9,207.8,212.8,"ILF2",NA,NA
"SPAG7",316.4,402.9,465.2,355,364.4,"SPAG7",NA,NA
"ZPR1",84.8,114.5,98.4,61.3,80.8,"ZPR1",NA,NA
"TAF10",241.6,612,585.6,353.7,272.1,"TAF10",NA,NA
"C1D",137.1,47.3,49.8,76.1,71.5,"C1D",NA,NA
"NONO",1195.1,1544.1,1445.4,886.7,824,"NONO",NA,NA
"LOC101929240 /// SNRNP200",449.9,432.6,462.2,466.9,430.9,"LOC101929240","SNRNP200",NA
"RHOA",2697.1,1671,2186.9,2309,2297,"RHOA",NA,NA
"RNPS1",520.9,495.7,423.5,525.8,683.2,"RNPS1",NA,NA
"RPS24",5283.5,6663.4,5932.8,5107.4,5110,"RPS24",NA,NA
"RPL30",5919.8,6657.6,5757.6,3968.4,3656.4,"RPL30",NA,NA
"NPM1",3222.1,2703.8,2238.2,2640.6,2368.6,"NPM1",NA,NA
"HSP90AB1",2612,2507,2406.9,2114.7,1986.2,"HSP90AB1",NA,NA
"ARF1 /// MIR3620",1178.6,1368.8,1344.7,1232.2,1424.7,"ARF1","MIR3620",NA
"IK",260.6,380.9,370.3,253.6,317.2,"IK",NA,NA
"SNX3",564.1,510,583.8,581.8,564.8,"SNX3",NA,NA
"CANX",1534.4,1983.2,2042.1,1739,1882.2,"CANX",NA,NA
"SART3",136.4,100.2,66.2,87.5,87.6,"SART3",NA,NA
"CNPPD1",129.7,69.8,134.8,139.1,169.9,"CNPPD1",NA,NA
"SMNDC1",214.4,171,123.4,169.5,160.2,"SMNDC1",NA,NA
"HNRNPM",649,878,732,577.4,550.8,"HNRNPM",NA,NA
"HNRNPD",577.8,534.2,496.6,493.5,517.3,"HNRNPD",NA,NA
"RPL14",1601,1481.5,1330,1175.7,1262.2,"RPL14",NA,NA
"GUK1",298.3,485.7,479.8,371.6,415.8,"GUK1",NA,NA
"KXD1",205.5,315.7,298.1,190.8,177.2,"KXD1",NA,NA
"OAZ1",1653.7,1730.2,1913.7,1502.8,1529.6,"OAZ1",NA,NA
"ATP6V0B",312.1,298.1,336.8,327.8,353.3,"ATP6V0B",NA,NA
"KARS",436.9,629.8,698.6,587.6,564.7,"KARS",NA,NA
"H3F3A /// H3F3AP4 /// H3F3B",2014.5,1544.8,1402.6,1886.7,1857.3,"H3F3A","H3F3AP4","H3F3B"
"RPS6",4604,5067,5024.4,3852.8,4525.1,"RPS6",NA,NA
"RPS7",2589.8,3273.2,3479.7,2037.4,2069.7,"RPS7",NA,NA
"USP22",372.7,430.9,321,387.6,411.8,"USP22",NA,NA
"C11orf58",592,657.3,663.8,703.1,805.7,"C11orf58",NA,NA
"TCEB2",430,797.5,908.1,583.5,520.3,"TCEB2",NA,NA
"COX4I1",581.8,776.7,870.1,633.1,694.9,"COX4I1",NA,NA
"TMED2",844.1,899,977.6,1238.8,1347.4,"TMED2",NA,NA
"NBEAL1 /// RPL12",3603.1,5041.7,4468.1,3434.9,4196.5,"NBEAL1","RPL12",NA
"RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C",2351.1,2275.4,2167.1,2255.1,2476.7,"RPL4","SNORD16","SNORD18A"
"FNTA",604.3,597.9,562.1,788.1,887.6,"FNTA",NA,NA
"RPS25",2015.1,985.8,1097.1,1509.1,1356,"RPS25",NA,NA
"RPL37",4036.2,3049.7,2968.3,3166.3,3396.1,"RPL37",NA,NA
"HINT1",437.3,632.3,519.2,572.3,475.8,"HINT1",NA,NA
"EEF2",2228.8,3702.4,3175.6,2418.2,2631.7,"EEF2",NA,NA
"RPS10",6443.1,10064.9,9448.7,5567.2,6193.4,"RPS10",NA,NA
"ATP6V0E1",516,466.2,562.7,592.2,620.5,"ATP6V0E1",NA,NA
"HNRNPK",818.8,620.4,526.5,796.3,833.2,"HNRNPK",NA,NA
"ANAPC5",374.7,429.2,399,508.9,418.7,"ANAPC5",NA,NA
"RPS3A /// SNORD73A",5697.7,6009,5654.1,3910.9,3226.6,"RPS3A","SNORD73A",NA
"HNRNPU",560.3,753.3,587.2,546.4,445.2,"HNRNPU",NA,NA
"HNRNPU",877.1,1119.8,878.3,745.2,742.4,"HNRNPU",NA,NA
"EIF3A",495.1,266.7,293.8,503.5,512.1,"EIF3A",NA,NA
"EIF3A",268.8,306.1,366.8,229,249.9,"EIF3A",NA,NA
"EIF3A",170.2,175.3,139.6,162.4,98.4,"EIF3A",NA,NA
"HSP90B1 /// MIR3652",295.2,617.8,631.3,393.8,401.9,"HSP90B1","MIR3652",NA
"HSP90B1 /// MIR3652",1026.3,1079,974.2,1049.4,1156.7,"HSP90B1","MIR3652",NA
"MSN",780.2,672.2,967.9,1140.8,890.4,"MSN",NA,NA
"ACTN4",1083.1,961.6,1127.5,954.6,858.7,"ACTN4",NA,NA
"APP",416,170.1,198.4,527.3,491.8,"APP",NA,NA
"PRKAR1A",1137.8,546.7,476,1441.3,1416.2,"PRKAR1A",NA,NA
"PRKAR1A",559.2,887.6,875.7,703.7,769.2,"PRKAR1A",NA,NA
"PRKAR1A",1133.1,710.8,753.8,1164.4,1196.6,"PRKAR1A",NA,NA
"DSP",52.7,144.3,38.6,84,81.4,"DSP",NA,NA
"RAD21",261.2,231.1,224.1,254.6,252.2,"RAD21",NA,NA
"RAD21",281,100.6,127.5,244.8,312.1,"RAD21",NA,NA
"WDR1",864.6,1416,1338.2,1026.7,1183.8,"WDR1",NA,NA
"NCL",997,904.5,537.9,1242.5,1349.3,"NCL",NA,NA
"WDR1",916.1,1203.2,1523.5,844.3,961.1,"WDR1",NA,NA
"AP2B1",288.7,224,225.7,333,274.2,"AP2B1",NA,NA
"AP2M1",461.3,981.9,1058.6,671.8,617.1,"AP2M1",NA,NA
"CLTC",1133.4,1885.1,1740.4,1563.8,1665.9,"CLTC",NA,NA
"AP2B1",154,242.6,219.8,275.7,255.7,"AP2B1",NA,NA
"MLEC",46.1,94.9,114,77.3,79.7,"MLEC",NA,NA
"MLEC",308.5,306.4,366.2,303.3,376,"MLEC",NA,NA
"LASP1",364.1,363.7,487.3,415.8,601.6,"LASP1",NA,NA
"SF3B2",225.4,362.3,401.3,139,260.9,"SF3B2",NA,NA
"TMEM59",971.4,903.7,804.3,1080,1160.4,"TMEM59",NA,NA
"CSRP1",3725.4,7098.1,7746.6,6032.8,6871.7,"CSRP1",NA,NA
"CALM1 /// CALM2 /// CALM3",99.9,172.5,159.8,132.9,172.5,"CALM1","CALM2","CALM3"
"CALM1 /// CALM2 /// CALM3",288,356.5,458.2,343.4,384.7,"CALM1","CALM2","CALM3"
