"","Gene.Symbol","Flu.Immunized.Only.Day.7","Flu.Immunized.Only.Day.7.1","Flu.Immunized.Only.Day.7.2"
"111","ACLY",7.44976178533333,7.685147571,7.564601498
"112","ACMSD",2.419838966,1.9652154,2.335313254
"113","ACO1",4.794316946,5.235923766,4.125925107
"114","ACO2",5.8114264225,5.401439374,5.5297526625
"115","ACOT11",2.763474713,2.8144010135,2.58413190225
"116","ACOT12",2.362366849,2.221089995,2.179627022
"117","ACOT7",4.5439449625,4.951919554,4.3702968075
"118","ACOT8",4.305467388,4.688842475,4.3971214915
"119","ACOT9",7.213779131,7.42220762,6.758505119
"120","ACOX1",4.2226034448,4.3150479638,4.0478855076
"121","ACOX3",4.0070062025,4.559402067,4.229369258
"122","ACOXL",2.62603128,2.549415826,2.524660337
"123","ACP1",7.11226643025,7.13124642075,7.23953330475
"124","ACP2",5.355439396,5.341308634,4.609822886
"125","ACP5",5.160604804,5.27002703,5.942606217
"126","ACP6",6.414142563,6.089648015,6.127098126
"127","ACPP",5.408462116,5.6681803515,4.0870376645
"128","ACR",2.721750176,2.799551381,2.689599516
"129","ACRBP",6.97480880166667,6.22418499266667,6.00978576333333
"130","ACRV1",2.53340533483333,2.663741301,2.46856332816667
"131","ACSBG1",3.6796608605,3.7692697565,2.881204918
"132","ACSBG2",2.532607378,2.350170776,2.664832759
"133","ACSF2",4.815902417,5.460107812,4.912241012
"134","ACSF3",3.403792005,3.565904636,3.548054034
"135","ACSL1",10.945453685,11.001787375,9.6013984775
"136","ACSL3",5.67201192166667,5.36137581333333,5.70465892266667
"137","ACSL4",4.760476382,5.315534335,4.61417064233333
"138","ACSL5",7.4997435765,7.064355847,7.2728726415
"139","ACSM1",2.575103851,2.213997909,2.577674869
"140","ACSM3",4.0468612825,3.67769715,4.545242548
"141","ACSM5",2.22766300733333,2.67899331166667,2.484121374
"142","ACSS1",3.8475570824,3.6603357806,3.7384591938
"143","ACSS2",6.317119713,5.879245674,5.580908117
"144","ACSS3",2.321956735,2.500056403,2.32951568
"145","ACTA1",2.452636385,2.571884191,2.572687584
"146","ACTA2",3.26710406833333,2.861951596,2.63691322166667
"147","ACTB",12.9410236183333,13.0700153916667,12.7978873516667
"148","ACTC1",2.291267736,2.383555243,2.270471101
"149","ACTG1",12.3111394455556,12.3751121122222,12.3539467011111
"150","ACTG2",2.4105201415,2.9061092845,2.331111151
"151","ACTL6A",5.905964901,5.605248337,6.031965418
"152","ACTL6B",2.6584727585,2.586407658,2.3464094085
"153","ACTL7A",2.518247103,2.947234332,2.583101716
"154","ACTL7B",2.537036578,2.501162004,2.83168223
"155","ACTL8",2.884753697,2.617170281,3.0838699
"156","ACTN2",2.64407797375,2.49073463025,2.42893302325
"157","ACTN3",2.95583222,2.733565982,2.320253565
