"Gene.Symbol","GSM9093","GSM9094","GSM9095","GSM9096","GSM9097","first","second","third"
"SART1",160.7,145.4,163.6,136,204.9,"SART1",NA,NA
"ILF2",212,305.6,302.8,300.8,348.9,"ILF2",NA,NA
"SPAG7",434.7,340.5,381.2,392.5,443.7,"SPAG7",NA,NA
"ZPR1",94.7,94.7,76.2,62.2,97.8,"ZPR1",NA,NA
"TAF10",793.2,494.7,428.6,563.4,649,"TAF10",NA,NA
"C1D",57,52.8,107.7,71.7,65.6,"C1D",NA,NA
"NONO",1498.5,1390.8,1100.3,1159,1217.7,"NONO",NA,NA
"LOC101929240 /// SNRNP200",523.2,641.7,708.7,444.6,519.6,"LOC101929240","SNRNP200",NA
"RHOA",2013.2,1938.3,2097.6,1886.4,1342.1,"RHOA",NA,NA
"RNPS1",430.9,505.6,588.6,493.5,499.3,"RNPS1",NA,NA
"RPS24",6459.8,7088.9,7707.1,7125.7,8225.3,"RPS24",NA,NA
"RPL30",5027.7,6363,6824.1,5349.7,5296.3,"RPL30",NA,NA
"NPM1",3454.8,3011.6,4011.8,2617.7,2709.8,"NPM1",NA,NA
"HSP90AB1",2591.6,2308.5,2277.7,1765.5,1640,"HSP90AB1",NA,NA
"ARF1 /// MIR3620",1523,1400.4,1231.8,1424.7,1383.6,"ARF1","MIR3620",NA
"IK",323,293.7,398.1,300.2,337.3,"IK",NA,NA
"SNX3",467.6,732.3,590.1,703.7,580.7,"SNX3",NA,NA
"CANX",2006.3,1998.3,1930,1682.5,1602.2,"CANX",NA,NA
"SART3",50,89.1,65.5,96.1,67.4,"SART3",NA,NA
"CNPPD1",86.7,90.9,104.2,103.3,151.8,"CNPPD1",NA,NA
"SMNDC1",171.9,236.3,220.9,206.1,181,"SMNDC1",NA,NA
"HNRNPM",940.2,656.8,563.2,665,591.1,"HNRNPM",NA,NA
"HNRNPD",448.8,481.4,511.8,481.1,429.7,"HNRNPD",NA,NA
"RPL14",1439.5,1801.5,2005.3,1318.1,1488.2,"RPL14",NA,NA
"GUK1",479.3,392.9,370.7,489.4,562.8,"GUK1",NA,NA
"KXD1",336.4,217.4,233.5,271.9,223,"KXD1",NA,NA
"OAZ1",2044.2,1581.9,1388.1,1808.3,2042.4,"OAZ1",NA,NA
"ATP6V0B",227.5,274.9,227.1,312.9,323.1,"ATP6V0B",NA,NA
"KARS",735.8,539.4,650.3,611.2,759.7,"KARS",NA,NA
"H3F3A /// H3F3AP4 /// H3F3B",1510.4,1718.4,2211.7,2121.3,2206.4,"H3F3A","H3F3AP4","H3F3B"
"RPS6",5511.5,5362.7,5486.7,4611.5,4165.3,"RPS6",NA,NA
"RPS7",3157.3,4021,4101,3294.8,2823.6,"RPS7",NA,NA
"USP22",557.5,424,453,450.8,397.4,"USP22",NA,NA
"C11orf58",809.2,646.3,766,684.2,553,"C11orf58",NA,NA
"TCEB2",1019.8,678.5,746.9,1170,1475.8,"TCEB2",NA,NA
"COX4I1",942.3,660.5,732.8,780.6,1029.6,"COX4I1",NA,NA
"TMED2",1275.9,1117.3,1376.1,1060.9,918.4,"TMED2",NA,NA
"NBEAL1 /// RPL12",5052.2,4778.3,4628.2,4804.6,5799.5,"NBEAL1","RPL12",NA
"RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C",2336.5,3237,3584.6,2892.5,3426.5,"RPL4","SNORD16","SNORD18A"
"FNTA",615.7,752.3,719.9,896.8,916.7,"FNTA",NA,NA
"RPS25",1081.2,1737.3,2760.9,1886.7,2307.1,"RPS25",NA,NA
"RPL37",3297.4,4127.4,4661.8,3778.2,4585.9,"RPL37",NA,NA
"HINT1",620.5,469.1,629.9,510.5,487.3,"HINT1",NA,NA
"EEF2",3281.7,2967.7,2290.4,2904.3,3381.9,"EEF2",NA,NA
"RPS10",10952.1,10075.1,10784,9871.7,10654.2,"RPS10",NA,NA
"ATP6V0E1",810.3,426.6,540.5,647.1,636.7,"ATP6V0E1",NA,NA
"HNRNPK",729.6,824.9,979.2,716.5,557.2,"HNRNPK",NA,NA
"ANAPC5",382.7,534.6,588.4,554.4,631.5,"ANAPC5",NA,NA
"RPS3A /// SNORD73A",5227.7,6200.2,6530,5649.2,5997.6,"RPS3A","SNORD73A",NA
"HNRNPU",624.8,523,433.5,354.5,324.2,"HNRNPU",NA,NA
"HNRNPU",1006.8,883.3,908,894,817.7,"HNRNPU",NA,NA
"EIF3A",365.1,450.3,504.2,611.9,479.1,"EIF3A",NA,NA
"EIF3A",461.4,197.6,178.3,221.3,203.4,"EIF3A",NA,NA
"EIF3A",132.1,143.8,209.9,173.2,157.9,"EIF3A",NA,NA
"HSP90B1 /// MIR3652",510.2,289.9,355.7,298.3,199.2,"HSP90B1","MIR3652",NA
"HSP90B1 /// MIR3652",1171.5,976.3,1371,1251.8,1308.2,"HSP90B1","MIR3652",NA
"MSN",937.9,862.7,815.2,706.8,876.9,"MSN",NA,NA
"ACTN4",1211.6,1630,1525.1,1593.3,1541.7,"ACTN4",NA,NA
