"Gene.Symbol","GSM9093","GSM9094","GSM9095","GSM9096","GSM9097","first","second","third"
"ZBTB6",22.2,20.6,11.6,18.2,5.3,"ZBTB6",NA,NA
"PRKCH",53.6,61.1,67.2,62.1,55.1,"PRKCH",NA,NA
"CPM",27.5,4.2,21.3,39.9,15.8,"CPM",NA,NA
"ECM2",70.8,125,207.5,145,130.6,"ECM2",NA,NA
"GINS1",22.1,36.8,43.5,25.4,51.5,"GINS1",NA,NA
"RAC3",4.4,7.4,3.2,5.6,17.6,"RAC3",NA,NA
"ISL1",2.3,6.9,14.9,7.3,40.1,"ISL1",NA,NA
"AFF2",13.3,84.4,73.3,72.3,71.9,"AFF2",NA,NA
"MAPK12",115.6,106.4,107.4,92.1,102.5,"MAPK12",NA,NA
"RGS11",12.1,9.7,3.4,8.7,6.7,"RGS11",NA,NA
"SRSF6",17.1,31.1,32.2,18.1,8.3,"SRSF6",NA,NA
"FUT1",20.6,38.4,50.1,34.2,6.2,"FUT1",NA,NA
"HIST1H3A /// HIST1H3B /// HIST1H3C /// HIST1H3D /// HIST1H3E /// HIST1H3F /// HIST1H3G /// HIST1H3H /// HIST1H3I /// HIST1H3J",3.3,14.5,5.4,4.8,18.2,"HIST1H3A","HIST1H3B","HIST1H3C"
"RNASE2",37.7,27.1,24.5,47.1,44.1,"RNASE2",NA,NA
"ANKRD7",10,11.7,17.2,1.4,0.5,"ANKRD7",NA,NA
"RAB5A",161,98.4,76.2,82.4,63.7,"RAB5A",NA,NA
"EPHA4",3.7,8.2,6.6,17.4,7.4,"EPHA4",NA,NA
"EGR3",33.3,41.1,46.9,45,26,"EGR3",NA,NA
"TPM1",3810.7,2811.7,3209,2737.1,1896.8,"TPM1",NA,NA
"TPM1",230.9,244.3,281.8,260,214.8,"TPM1",NA,NA
"STAT4",17.7,40.2,56.7,59.1,71.7,"STAT4",NA,NA
"BHMT",22.7,8.8,15.6,12.3,19.9,"BHMT",NA,NA
"CD33",7.2,10.1,6.5,3.9,5.5,"CD33",NA,NA
"AMPD1",17.6,19.5,33.5,6.2,33.9,"AMPD1",NA,NA
"SOX15",3.4,11.4,40.8,4.3,4.8,"SOX15",NA,NA
"LLGL1",12.1,59.5,14.6,51.7,52.5,"LLGL1",NA,NA
"LLGL1",15.8,4.4,13.9,39.5,7.4,"LLGL1",NA,NA
"KLK8",95.3,83.9,80.9,74,119.6,"KLK8",NA,NA
"CXCR5",3.6,14.8,10.8,8.2,11.7,"CXCR5",NA,NA
"ELK3",65.9,10,45.6,36.9,39.3,"ELK3",NA,NA
"ADRA2C",148.5,80.6,37,162.8,137.4,"ADRA2C",NA,NA
"ARSB",47.7,22.5,18,40.4,14.6,"ARSB",NA,NA
"ASGR2",10,8.7,5,16.1,17.9,"ASGR2",NA,NA
"CLPS",9,32.7,6.2,19.4,33.2,"CLPS",NA,NA
"MCC",97.6,136.4,101.4,141.9,130.8,"MCC",NA,NA
"XAF1",58.3,26.7,35.6,34.2,22,"XAF1",NA,NA
"ADAMDEC1",17.9,23.3,23.6,28.9,20.8,"ADAMDEC1",NA,NA
"ST18",0.9,11.5,1.9,9.7,2.2,"ST18",NA,NA
"FZD5",17.3,10.1,3.7,4.9,9.2,"FZD5",NA,NA
"RIMS2",95.8,97,80,117,86.4,"RIMS2",NA,NA
"PI4KB",254.5,290.2,321.2,382.9,320.5,"PI4KB",NA,NA
"PI4KB",101.1,111.7,104.3,122.1,79.5,"PI4KB",NA,NA
"LHX2",1.3,8.6,3,7.1,1.7,"LHX2",NA,NA
"MOCS3",22.1,34.8,39.9,67,14.7,"MOCS3",NA,NA
"ZNF135",45.4,42.1,54.8,44.4,69.2,"ZNF135",NA,NA
"SLC26A3",19.1,11.2,0.8,8.6,8.2,"SLC26A3",NA,NA
"MAGI1",54.2,59.1,41.4,54.3,38.3,"MAGI1",NA,NA
"RHAG",2.7,11.7,14.4,17.6,23.1,"RHAG",NA,NA
"RHAG",5.8,12.9,4.5,3.4,10.1,"RHAG",NA,NA
"SCML2",27.4,132.3,90.6,95.5,93.5,"SCML2",NA,NA
"IL3RA",30.8,10,14.6,4.6,4.6,"IL3RA",NA,NA
"CHP2",7,6.4,7.9,11.8,12.6,"CHP2",NA,NA
"CD27",21,25.8,10.1,10.5,12.4,"CD27",NA,NA
"CELA3B",6.1,28.1,40.2,42.1,5,"CELA3B",NA,NA
"AGAP2",7.2,16.2,20.4,47,45.7,"AGAP2",NA,NA
"CYP4F11",0.7,2.3,2.2,0.9,1.3,"CYP4F11",NA,NA
"RLBP1",23.8,12.6,10.2,69.3,76.1,"RLBP1",NA,NA
"ABCC2",1.1,38.4,11,4.9,6.2,"ABCC2",NA,NA
"GJB5",4.8,13.2,5.9,10.5,6.1,"GJB5",NA,NA
"PTX3",12.9,15.5,19.5,10.4,3.5,"PTX3",NA,NA
"CNBP",935.7,1069.6,1363.5,1051.3,714.2,"CNBP",NA,NA
"GDF10",2.8,43,46.2,57.9,53.9,"GDF10",NA,NA
"APOBEC2",24.6,81.9,38.7,32,73.5,"APOBEC2",NA,NA
"SYT5",52.7,29.4,13.9,42,8.2,"SYT5",NA,NA
"SYT5",1.3,5.1,6.8,4.9,3.9,"SYT5",NA,NA
"MAB21L1 /// MIR548F5",11.2,25.5,15.6,15.2,6,"MAB21L1","MIR548F5",NA
"CLCA2",2.3,4.6,12.9,5.3,2,"CLCA2",NA,NA
"CLCA2",2.6,3.4,23,21.2,43.3,"CLCA2",NA,NA
"CLCA2",5.6,21.1,18.3,16.1,26.3,"CLCA2",NA,NA
"ARHGAP6",200.5,316.8,418.1,291.2,272.7,"ARHGAP6",NA,NA
"ZC3H7B",33.3,60.7,4.3,24.8,20.9,"ZC3H7B",NA,NA
"ZC3H7B",109.4,113.8,151.1,183.8,233.8,"ZC3H7B",NA,NA
"ADRB2",43.4,60.9,53,50.6,47,"ADRB2",NA,NA
"ADORA3",45,113.1,74,59.2,66,"ADORA3",NA,NA
"IL13RA2",3.2,11.2,12.1,3.6,6.7,"IL13RA2",NA,NA
"GABPB1",4.9,15.6,13.5,2.5,5.4,"GABPB1",NA,NA
"PPP6C",258,117.3,160.5,167.9,114.4,"PPP6C",NA,NA
"ZNF222",7,22.6,44.9,26,19.1,"ZNF222",NA,NA
"BMP6",40.4,26.7,85.3,82.3,83.1,"BMP6",NA,NA
"ARG1",20.4,24.8,15.8,18.4,61.9,"ARG1",NA,NA
"PLA2G5",5.2,74.4,30.5,63.7,66.7,"PLA2G5",NA,NA
"TPPP",36.3,25.8,26,30.1,26.5,"TPPP",NA,NA
"ZNF747",78.7,88.4,66.1,113.5,124.6,"ZNF747",NA,NA
"SLAMF1",15,33.9,39,63.1,25.2,"SLAMF1",NA,NA
"ZNF134",27.3,34.9,41,42.5,37.4,"ZNF134",NA,NA
"HERC3 /// LOC101929134",1.8,37.1,40.3,41.5,33,"HERC3","LOC101929134",NA
"CRKL",72.4,73.8,88.7,74.5,55.4,"CRKL",NA,NA
"CRYBB1",3.3,4,2.5,3.1,6.2,"CRYBB1",NA,NA
"MPP3",39.7,109.8,110.9,84.7,97.6,"MPP3",NA,NA
"PTGIR",5.3,7,10.6,9.8,11,"PTGIR",NA,NA
"ZNF623",25.1,41.4,49.8,24.8,31.8,"ZNF623",NA,NA
"UNC5C",5.4,16,24.3,12.1,5.7,"UNC5C",NA,NA
"GPR17",2,2.1,1.2,1.6,4.2,"GPR17",NA,NA
"ENTPD3",5.8,46.5,27.3,50.2,22.1,"ENTPD3",NA,NA
"CDSN",2.7,12.2,5.1,7.8,6.9,"CDSN",NA,NA
"CDSN",4.5,8.5,7.1,4.7,7.8,"CDSN",NA,NA
"HOXC4",48.5,50.7,52,109,78.1,"HOXC4",NA,NA
"GH2",1.6,3.7,4.7,4.6,5.4,"GH2",NA,NA
"RUNDC3A",41.6,50.8,69.2,75,52.7,"RUNDC3A",NA,NA
"NME5",32.9,73.3,90.5,86.5,75.1,"NME5",NA,NA
"CEACAM7",8.1,21.3,10.6,2.4,8.7,"CEACAM7",NA,NA
"CEACAM7",2.4,44.3,50.4,53.1,41.2,"CEACAM7",NA,NA
"ANXA11",360.1,307.9,245.2,192,281.5,"ANXA11",NA,NA
"MEOX2",0.4,38.8,30.4,3.9,10.3,"MEOX2",NA,NA
"MEOX2",0.6,0.8,0.9,10,5.4,"MEOX2",NA,NA
"RCVRN",1.9,8.1,40.8,13.2,21.8,"RCVRN",NA,NA
"GRB14",6.7,69,0.7,45.2,27.2,"GRB14",NA,NA
"MPHOSPH9",17.7,2.2,1,1.4,1.4,"MPHOSPH9",NA,NA
"CD180",27.8,20.1,41.3,32.5,46,"CD180",NA,NA
"CLC",3.9,25.3,22,24.3,32.5,"CLC",NA,NA
"CA4",4.3,3.9,2.8,4.8,7.5,"CA4",NA,NA
"CA4",56.7,69.6,31,50.9,69.6,"CA4",NA,NA
"CETP",1.6,5.1,5,4.5,3.5,"CETP",NA,NA
"SELE",9.9,19.5,0.3,23.7,22.8,"SELE",NA,NA
"CPA2",51.2,62.9,80.9,87.2,86.3,"CPA2",NA,NA
"WNT10B",5.1,12.3,12.1,17.3,44.9,"WNT10B",NA,NA
"PLA2G7",3.5,8.9,14,10.6,18.3,"PLA2G7",NA,NA
"OPCML",25.1,35.2,27.3,55.6,66.7,"OPCML",NA,NA
"SRPK3",34.1,162.7,150.4,101.4,98.7,"SRPK3",NA,NA
"EDA",45.4,116.4,74,72.5,72,"EDA",NA,NA
"MAGEB2",23,22.1,27.5,50,38.4,"MAGEB2",NA,NA
"VAV1",89.1,56,60.7,64.7,94.5,"VAV1",NA,NA
"RASA3",34.3,21.3,38.3,36.3,9.7,"RASA3",NA,NA
"RASA3",1,5.9,1.3,1.1,2.2,"RASA3",NA,NA
"TNFRSF10C",30.4,40.6,31.9,36.8,41.9,"TNFRSF10C",NA,NA
"LMTK2",9.9,3.8,10.7,3.9,19.2,"LMTK2",NA,NA
"CST1",3.4,4.6,18.2,8.7,1.9,"CST1",NA,NA
"ZNF507",35.6,61.6,50,77.7,82.7,"ZNF507",NA,NA
"HRG",17.3,66.6,49.4,51.8,71.8,"HRG",NA,NA
"CILP",163.3,157.8,101.2,210,235.4,"CILP",NA,NA
"PAX2",31.7,20.8,20.6,28.2,10.5,"PAX2",NA,NA
"PAX2",44.7,50.7,16.4,40,13.3,"PAX2",NA,NA
"LHX1",1.3,5,11.4,3,4.4,"LHX1",NA,NA
"KCNN1",52.3,28.6,67.1,50.4,62.2,"KCNN1",NA,NA
"B4GALT6",10,7.1,6.7,15.5,1.9,"B4GALT6",NA,NA
"B4GALT6",14.6,24.7,22.9,23.5,24.3,"B4GALT6",NA,NA
"MMP17",38.4,36.9,25.5,62.1,37.3,"MMP17",NA,NA
"LIG4",35.9,35.1,36.7,16.8,19.3,"LIG4",NA,NA
"GPR4",23.6,30.5,37.3,27.6,30.1,"GPR4",NA,NA
"NRG1",9.6,5.6,3.7,3.4,3.2,"NRG1",NA,NA
"YAF2",39.5,66.2,40.7,66.2,48.8,"YAF2",NA,NA
"SPINK1",14.4,7.7,32.3,22,6.1,"SPINK1",NA,NA
"ZNF136",78.3,127.3,119.5,97.9,181.9,"ZNF136",NA,NA
"KPNA5",35.5,17.8,12.2,2.9,3.5,"KPNA5",NA,NA
"TM4SF5",35.3,27.5,33.6,25.5,33.3,"TM4SF5",NA,NA
"TIMP4",3.7,7.8,3.3,3.1,5.1,"TIMP4",NA,NA
"CR1",3.1,9.6,1.5,2.7,3.8,"CR1",NA,NA
"IVNS1ABP",274,232.3,236.5,185,132.7,"IVNS1ABP",NA,NA
"PFKFB4",8,9.7,23.1,8.6,9.7,"PFKFB4",NA,NA
"MICB",11.6,35.9,34.9,23.5,36.9,"MICB",NA,NA
"PRKCE",58.8,56.7,58.7,40.8,49.7,"PRKCE",NA,NA
"MAP3K13",29.5,38.7,49.2,7.3,25.9,"MAP3K13",NA,NA
"AVPR1A",2.5,7.8,1.7,9.5,8,"AVPR1A",NA,NA
"AVPR1A",31.7,30.8,20.2,15.7,12.9,"AVPR1A",NA,NA
"AVPR1A",22.9,3.6,1.7,11.9,9,"AVPR1A",NA,NA
"DLG2",4.2,31.2,9.8,22.1,11.8,"DLG2",NA,NA
"EGF",5.9,38.1,33.1,27.9,2.4,"EGF",NA,NA
"BLK",3.5,4,1.6,1.9,1.9,"BLK",NA,NA
"CPN1",11.6,70.2,76.7,74.6,55.4,"CPN1",NA,NA
"CCDC9",92.9,227,160.3,137.5,173.1,"CCDC9",NA,NA
"ST8SIA5",3.1,3.9,4.4,4.1,5.3,"ST8SIA5",NA,NA
"PROC",4.2,2.5,9.1,5.3,5.3,"PROC",NA,NA
"TGM4",13.5,26.8,7.2,32.5,24.5,"TGM4",NA,NA
"ZNF239",51.6,116.6,119.9,37.9,72.4,"ZNF239",NA,NA
"ADH1C",4.2,18,2.3,3.1,4.9,"ADH1C",NA,NA
"FMO4",60.7,159.5,92.1,123.1,157.4,"FMO4",NA,NA
"GPLD1",32.8,66.1,61.1,52.3,62.3,"GPLD1",NA,NA
"GPLD1",1.9,8.3,3.8,7.5,27.2,"GPLD1",NA,NA
"GPLD1",2.4,12.9,7.1,6.7,2.8,"GPLD1",NA,NA
"MATK",11.5,9.5,12.6,24.3,10,"MATK",NA,NA
"LEFTY1",38.6,24.1,23.2,50.6,46.6,"LEFTY1",NA,NA
"GCM1",4.8,5.5,33.8,6.5,11.5,"GCM1",NA,NA
"PRKCG",3.6,2.5,2,2.3,3.7,"PRKCG",NA,NA
"TLR3",11.9,19.8,20.2,15.9,32.4,"TLR3",NA,NA
"RAB4A /// SPHAR",62.2,175.7,132.9,168.4,130.1,"RAB4A","SPHAR",NA
"SLMO1",3.7,6.3,3.4,7.4,8.8,"SLMO1",NA,NA
"CROCC",68.1,55.6,43.3,58.7,56.4,"CROCC",NA,NA
"MICAL2",66,10.5,11.1,6.8,21.7,"MICAL2",NA,NA
"LY6D",1.1,4,2.4,2.5,3.7,"LY6D",NA,NA
"P2RY2",1.3,5.4,4.3,2.2,3,"P2RY2",NA,NA
"PTAFR",25.3,30.9,23.9,8.8,10.2,"PTAFR",NA,NA
"PRKY",22.6,21.5,26.1,27.2,25.8,"PRKY",NA,NA
"CDH18",3.3,54.9,41.1,38.5,73.1,"CDH18",NA,NA
"ADCYAP1",28.8,50.6,30.1,62,79.8,"ADCYAP1",NA,NA
"NEUROD1",2.1,19.1,7.5,4.5,11.5,"NEUROD1",NA,NA
"TAL1",23.6,32,43.6,62.4,55.2,"TAL1",NA,NA
"CLTB",183.8,242.5,202.9,225.7,314.1,"CLTB",NA,NA
"NPHP1",17.2,9.5,4.9,29.3,33.9,"NPHP1",NA,NA
"TDGF1 /// TDGF1P3",1.5,6.3,26.1,29.9,41.5,"TDGF1","TDGF1P3",NA
"ITIH4",2.4,11.9,8.3,7.3,23.6,"ITIH4",NA,NA
"PGGT1B",22.4,4.9,13,14.7,4,"PGGT1B",NA,NA
"HOXA4",40.1,28.8,36.9,52,49.9,"HOXA4",NA,NA
"RGS7",5.6,17.8,11.1,27.4,32.3,"RGS7",NA,NA
"NTS",20.9,33,15.5,2.9,23.1,"NTS",NA,NA
"SULT2A1",7.7,17.2,28.8,32.5,3.7,"SULT2A1",NA,NA
"SULT2A1",3.4,30.8,18.1,3.2,13.8,"SULT2A1",NA,NA
"HSD3B2",7.1,20.5,37,23,28.4,"HSD3B2",NA,NA
"IL18",9,11.2,17.7,2,30.8,"IL18",NA,NA
"MAP4K1",1.8,5.3,3.2,4.8,12.5,"MAP4K1",NA,NA
"CTRC",33.3,73.3,78.6,54.4,98.8,"CTRC",NA,NA
"ARHGAP22",22.9,12.4,31.7,34.2,17.3,"ARHGAP22",NA,NA
"FAM155B",29.7,37.9,39.3,33.2,46,"FAM155B",NA,NA
"PTHLH",21.7,18.5,32,32,25.8,"PTHLH",NA,NA
"TEC",3,4.2,2.6,3.6,3.2,"TEC",NA,NA
"NUDT4 /// NUDT4P1 /// NUDT4P2",84.1,72.5,48.9,70.7,70.2,"NUDT4","NUDT4P1","NUDT4P2"
"NUDT4 /// NUDT4P1 /// NUDT4P2",75.4,36,79.2,32.4,7.3,"NUDT4","NUDT4P1","NUDT4P2"
"MYBPH",4.1,11.1,5.8,3.1,2.7,"MYBPH",NA,NA
"C8A",1.5,8.4,14,4.8,7.9,"C8A",NA,NA
"RYR3",65.1,228.5,293.8,201.7,152,"RYR3",NA,NA
"FOXD1",10.4,2.7,24.6,6.7,3.6,"FOXD1",NA,NA
"TRDMT1",16.4,39.7,36.1,57.5,38.4,"TRDMT1",NA,NA
"LECT1",36,90.6,87,67.5,75.8,"LECT1",NA,NA
"SPINK2",4.8,9.6,10.2,10,3.1,"SPINK2",NA,NA
"PLA2G1B",2.2,14.2,5,21.1,19.5,"PLA2G1B",NA,NA
"GUCY2C",5.6,30.2,24.3,19.9,2,"GUCY2C",NA,NA
"HLA-DOA",29.9,7.6,8.9,40.8,44.4,"HLA-DOA",NA,NA
"ZKSCAN7",48.5,68.7,59.5,69.4,37.1,"ZKSCAN7",NA,NA
"CRLF1",25.8,3.5,2,3.6,73.5,"CRLF1",NA,NA
"KNTC1",40.3,32,15.5,16.4,38.8,"KNTC1",NA,NA
"ABCB8",41.4,10.1,4.2,19.1,56.3,"ABCB8",NA,NA
"EPPIN /// EPPIN-WFDC6",5.6,19.6,16.2,16,28.2,"EPPIN","EPPIN-WFDC6",NA
"EPPIN /// EPPIN-WFDC6",23.6,29.5,30.2,39.6,45.7,"EPPIN","EPPIN-WFDC6",NA
"SMAD9",1.9,6.5,4.7,3.5,5,"SMAD9",NA,NA
"RFX1",4.2,5,3.5,3,2.8,"RFX1",NA,NA
"SYN3",4.1,5.2,9.8,25.4,4.1,"SYN3",NA,NA
"OPHN1",341.2,527.5,657.2,552.9,1169.2,"OPHN1",NA,NA
"DAPK2",10.3,35.3,17.8,56.7,47,"DAPK2",NA,NA
"SERPINA6",4.7,16.3,15.8,8.5,16.2,"SERPINA6",NA,NA
"GRP",1209.1,7.9,6.1,55.9,38.8,"GRP",NA,NA
"CDH15",38.1,45.1,52.2,76.7,17.9,"CDH15",NA,NA
"CDH15",5.6,4.4,5.2,3.2,4,"CDH15",NA,NA
"EXTL1",82.2,8.7,7.2,27.7,43.4,"EXTL1",NA,NA
"SHC3",21.7,38.2,3.8,9.2,13.2,"SHC3",NA,NA
"CALCRL",46.1,78.4,79.9,100.3,28.9,"CALCRL",NA,NA
"IFI16",618.9,337.2,395.1,618.3,761.9,"IFI16",NA,NA
"MSI1",4.4,24.2,4.2,4.4,3.9,"MSI1",NA,NA
"LIPF",12.2,4.1,19.2,11,4.4,"LIPF",NA,NA
"GALNS",86.6,108.2,59.6,96,112.6,"GALNS",NA,NA
"CXCL6",7.9,13.5,22.7,8,57.1,"CXCL6",NA,NA
"CCR7",21.5,74.6,42.6,54,34.3,"CCR7",NA,NA
"ELAVL3",12.1,9.4,4.9,9.7,9.7,"ELAVL3",NA,NA
"CARTPT",51.3,57.9,26.9,29.4,46.6,"CARTPT",NA,NA
"NR1H4",18.2,18.1,15.3,31.6,23.3,"NR1H4",NA,NA
"IL2RA",21.5,16.1,8.6,1.8,18.1,"IL2RA",NA,NA
"IDS",93.7,80.5,90.4,27.8,73.7,"IDS",NA,NA
"NRG1",18.6,6,7.3,22.4,17.3,"NRG1",NA,NA
"PON1",13.8,2,44.1,30.2,29.6,"PON1",NA,NA
"PON1",15.2,26.1,32.8,48,9.2,"PON1",NA,NA
"PRLR",18.1,27.2,20.8,29.3,20.1,"PRLR",NA,NA
"PDK3",15.1,17.6,35.3,39.5,23.6,"PDK3",NA,NA
"PDK3",4.1,4.1,5.5,2.3,3.4,"PDK3",NA,NA
"LGI1",0.8,2.4,2.9,4.4,1.6,"LGI1",NA,NA
"APCS",17.4,50.8,40.4,47,33.7,"APCS",NA,NA
"PEX10",27.3,35.2,30,8.8,8.6,"PEX10",NA,NA
"PEX10",104.4,39.9,99.1,37.9,71.1,"PEX10",NA,NA
"COX6A2",30.1,44.4,44.9,44.4,60.2,"COX6A2",NA,NA
"SLCO1B3",16.6,5.9,2.9,5.3,3.6,"SLCO1B3",NA,NA
"GNAL",22,52.8,32.3,37.6,27.9,"GNAL",NA,NA
"GNAL",6.9,7,3.7,23.9,4.8,"GNAL",NA,NA
"OPA3",3,5.4,17.6,22.9,17.6,"OPA3",NA,NA
"PRM1",1.7,18.9,13.1,7.3,5,"PRM1",NA,NA
"SOCS3",35.5,10.7,4.1,6.2,6.5,"SOCS3",NA,NA
"SOCS3",72.5,62.3,40.5,63.5,52.7,"SOCS3",NA,NA
"PTGDR2",6.2,10.8,5.4,49.4,49.6,"PTGDR2",NA,NA
"MAP3K10",5.1,10.2,8.9,6.9,8.3,"MAP3K10",NA,NA
"MAF",124.5,93.6,86.8,12.9,55.3,"MAF",NA,NA
"KIF14",24.8,11.2,13.7,13.6,31.3,"KIF14",NA,NA
"XCL1",8.3,18.6,4.4,31.4,19.7,"XCL1",NA,NA
"XCL1",8.9,15.8,8.8,13.4,8.4,"XCL1",NA,NA
"REN",4.1,20,12.5,47.4,12.6,"REN",NA,NA
"CPLX2",7.7,5.6,13.6,2.1,5.5,"CPLX2",NA,NA
"PIK3CG",3.4,3.9,2.6,3,7.6,"PIK3CG",NA,NA
"PIK3CG",0.9,4.9,5.7,8.2,14.1,"PIK3CG",NA,NA
"FOLR3",8.1,5.7,5.4,5,12.3,"FOLR3",NA,NA
"MYF6",5.3,10.8,5.6,5.6,9.7,"MYF6",NA,NA
"ZIC1",2,6.8,1.7,2.1,15.4,"ZIC1",NA,NA
"DUSP8 /// LOC101927562",67.6,107.3,182.5,108.8,119,"DUSP8","LOC101927562",NA
"HSPB3",89.6,94,110.7,65.5,59.9,"HSPB3",NA,NA
"SLC6A15",4.5,3.9,4.7,5.4,5.9,"SLC6A15",NA,NA
"FOXF2",43.3,61.8,27.9,60.2,52.4,"FOXF2",NA,NA
"SCGB2A2",19.5,21.6,8.4,13.5,1,"SCGB2A2",NA,NA
"EYA3",5.1,11.3,5.4,10.9,8.5,"EYA3",NA,NA
"CFP",1.2,2.7,1.8,1.9,1.9,"CFP",NA,NA
"SCN2A",18.3,28.8,35.6,33.6,36.1,"SCN2A",NA,NA
"BDNF",1.8,16.6,2.7,18.3,6.6,"BDNF",NA,NA
"G3BP2",119.4,60.5,35.6,34.3,3.1,"G3BP2",NA,NA
"CACNG3",9.2,3.7,5.2,4.6,7.7,"CACNG3",NA,NA
"ANK3",128.4,60.8,231.4,182.2,100.1,"ANK3",NA,NA
"SERPINA7",8.7,3.3,17.5,40.3,17.4,"SERPINA7",NA,NA
"CDX2",5.7,6.2,4.3,3.9,3.7,"CDX2",NA,NA
"PDE3A",37,47.9,44.6,64.2,57.2,"PDE3A",NA,NA
"PDE3A",26.9,4.4,2,15.4,1.5,"PDE3A",NA,NA
"PF4",5.3,69.6,30.9,33.4,62.3,"PF4",NA,NA
"RARRES1",19.3,2.4,2.1,2.7,2.9,"RARRES1",NA,NA
"RARRES1",63,6.8,8.9,5.8,7.7,"RARRES1",NA,NA
"TNNI2",3.3,2.6,5.2,2.9,3.6,"TNNI2",NA,NA
"MYBPC2",1.5,10.2,3.7,2.4,4.7,"MYBPC2",NA,NA
"DGKG",24.7,23,18.6,5.9,7,"DGKG",NA,NA
"SLC1A1",7.4,11.1,10.2,10.8,46.8,"SLC1A1",NA,NA
"CERS1 /// GDF1",5.2,11,7.6,14.2,7.1,"CERS1","GDF1",NA
"CD19",27.6,25.5,19,33.8,32.5,"CD19",NA,NA
"CACNA1A /// LOC100507353",3.7,6.1,2.7,3.7,4.5,"CACNA1A","LOC100507353",NA
"LGALS7 /// LGALS7B",3.1,3,6.6,1.6,5.8,"LGALS7","LGALS7B",NA
"MAPT",3.3,9.2,7.9,4.3,4.6,"MAPT",NA,NA
"NPFF",14.2,9.3,10.4,11.5,8.7,"NPFF",NA,NA
"ZNF536",30.1,38.6,27.9,44.5,58.5,"ZNF536",NA,NA
"FGF9",21.4,92.7,99.1,31.4,27.3,"FGF9",NA,NA
"USP32 /// USP6",88.4,113.3,179.8,95.9,119,"USP32","USP6",NA
"SMCP",3.3,7.3,5.9,6.8,9.7,"SMCP",NA,NA
"CCL13",19.1,7.6,25.4,13.7,8.6,"CCL13",NA,NA
"LRRTM2",26.1,36.2,36.4,32.5,36,"LRRTM2",NA,NA
"TIAM1",6.1,10.3,4.4,7.1,10.5,"TIAM1",NA,NA
"NR0B2",4.5,44.3,12,12.6,14.6,"NR0B2",NA,NA
"ABL2",52,61.2,70,49.5,44.2,"ABL2",NA,NA
"FER",22.4,14.1,41.5,51.2,31.9,"FER",NA,NA
"TCL1B",7,19,17.9,38.7,12.1,"TCL1B",NA,NA
"ASAP2",189.4,151.3,238.1,176.9,153.2,"ASAP2",NA,NA
"TLL1",11,5.6,19.3,12.9,13.1,"TLL1",NA,NA
"ZNF205",45,5,19.7,4.9,12.4,"ZNF205",NA,NA
"CNGA1",12.1,37.6,55.6,24.5,31.2,"CNGA1",NA,NA
"NOX1",3.4,3.5,3.7,0.9,3.3,"NOX1",NA,NA
"RORC",42.4,26.7,16.6,50.9,41.5,"RORC",NA,NA
"IGSF6",28.1,14.6,17.1,13.4,16.7,"IGSF6",NA,NA
"SERPINB7",1.6,4.4,2.7,6.5,8.8,"SERPINB7",NA,NA
"GCG",17.6,3.4,2.2,8.4,2.9,"GCG",NA,NA
"ANGPTL7",1.3,2.5,13.4,3.1,5.1,"ANGPTL7",NA,NA
"CYP26A1",7.5,21.1,7.8,7.4,42.4,"CYP26A1",NA,NA
"TRPC3",14.5,49.1,34.3,31,38.2,"TRPC3",NA,NA
"MLANA",3.1,27.5,12.3,17.9,8.8,"MLANA",NA,NA
"MLANA",30.6,27.9,9.7,20.9,33.2,"MLANA",NA,NA
NA,4.1,2.8,2.5,2.1,1.9,NA,NA,NA
"F2RL1",21.7,18.8,33.4,42,37.6,"F2RL1",NA,NA
"CDX1",3.4,7.1,5.9,6.3,6.1,"CDX1",NA,NA
"TBC1D9B",309.3,357.1,239.7,287.7,310.4,"TBC1D9B",NA,NA
"HAS2",14.4,24.1,11.7,17,21.1,"HAS2",NA,NA
"SPOCK3",0.4,1.2,1.4,1.4,3.2,"SPOCK3",NA,NA
"SPOCK3",16.8,11.5,16.2,4.1,7.2,"SPOCK3",NA,NA
"B4GALNT1",43.2,66.6,11.9,12.1,4.5,"B4GALNT1",NA,NA
"MPPED1",46.1,122.9,99,59.6,167.2,"MPPED1",NA,NA
"S1PR4",45.1,14.5,10.2,49.1,55.9,"S1PR4",NA,NA
"TCTN2",50.7,122.9,148.7,94.4,85.8,"TCTN2",NA,NA
"EPYC",83.9,13.2,12.2,9.1,7.9,"EPYC",NA,NA
"LIN7A",10.3,3.9,10.6,2.8,4.9,"LIN7A",NA,NA
"COMMD4",105.3,92.8,77.3,106.1,141,"COMMD4",NA,NA
"SEMG1",0.7,9.8,17.6,13.3,5,"SEMG1",NA,NA
"RORB",9.9,6.5,4.7,2.7,2.2,"RORB",NA,NA
"PDE1B",14.8,8.8,8.9,9.4,12.2,"PDE1B",NA,NA
"PRMT1",512.7,514.4,449,488.8,546.4,"PRMT1",NA,NA
"CELA2A /// CELA2B",1.7,2.3,8.9,9,17.1,"CELA2A","CELA2B",NA
"CELA2A /// CELA2B",1.6,4.3,0.9,2.6,2.5,"CELA2A","CELA2B",NA
"ZNF365",53.2,51.2,19.5,42.7,48.2,"ZNF365",NA,NA
"MASP1",20.4,22.1,34.8,26.4,33.9,"MASP1",NA,NA
"DBH",3.9,5.9,2.3,2.3,6.8,"DBH",NA,NA
"TBCCD1",33.4,41.4,42.2,37.4,47,"TBCCD1",NA,NA
