"","Gene.Symbol","Flu.Immunized.Only.Day.1","Flu.Immunized.Only.Day.1.1","Flu.Immunized.Only.Day.1.2"
"1","A1BG",4.231630639,3.736453832,4.228881273
"2","A1CF",3.146671329,2.914838588,3.17577421
"3","A2M",2.516229483,2.2909622865,2.3523455465
"4","A2ML1",2.4272493975,2.4186931235,2.376332188
"5","AAAS",4.466718336,4.337557258,4.213542273
"6","AACS",5.002461166,5.451671475,5.548737004
"7","AADAC",2.587485684,2.065080309,2.497188491
"8","AADACL2",2.7111503,2.787303685,2.58472459
"9","AADAT",2.780331885,2.605465929,2.913451253
"10","AAK1",4.49877928942857,4.54472140671429,4.68310399785714
"11","AAMP",6.816144934,6.62743945,6.704895855
"12","AARS",6.459509174,6.279234703,6.494757988
"13","AASDH",5.9484057985,5.8379568195,5.8471751345
"14","AASDHPPT",5.729623161,5.78079537533333,5.81668154866667
"15","AASS",3.0410393375,2.5442554985,3.1203044405
"16","AATF",8.071146161,7.902862374,8.045352117
"17","AATK",4.992686678,5.442416274,5.174566486
"18","ABAT",5.278636824,4.69209734366667,4.98278979966667
"19","ABCA1",3.97843495675,4.67991690225,3.94749852125
"20","ABCA12",2.373498082,2.356610711,2.27651641
"21","ABCA13",2.11050434866667,2.349455206,2.380097214
"22","ABCA2",2.67432978466667,2.87551380466667,2.518115733
"23","ABCA3",3.270740799,3.996458072,3.539364544
"24","ABCA4",2.6042730385,2.4384416255,2.6767195425
"25","ABCA5",5.0576912535,5.367550807,5.467690993
"26","ABCA6",2.248176096,2.272967775,2.509102359
"27","ABCA7",5.589315154,5.689553127,5.795368752
"28","ABCA8",2.39124098866667,2.476829026,2.32947917966667
"29","ABCA9",2.518761935,2.47911341633333,2.437783326
"30","ABCB1",4.2460903285,4.424325621,4.6644924055
"31","ABCB10",7.231657941,7.207267281,7.114231662
"32","ABCB11",2.31484722,2.3554917175,2.266184827
"33","ABCB4",3.637854907,3.1989492135,4.6684453935
"34","ABCB5",2.45612893875,2.55285421625,2.5800811715
"35","ABCB6",2.6836871435,2.9995118115,2.8796299535
"36","ABCB7",8.181913124,7.945430387,8.109650701
"37","ABCB9",2.42987748566667,2.67308714933333,2.527823208
"38","ABCC1",6.727244341,6.76754433,6.9245715325
"39","ABCC10",5.921422419,6.1376009935,5.977280479
"40","ABCC11",2.536035115,2.464348907,2.5201455165
"41","ABCC12",2.3646276335,2.258953323,2.3120469995
"42","ABCC13",2.62908204825,2.89564252975,2.64116716725
"43","ABCC3",4.0940335425,5.157988842,4.05456675033333
"44","ABCC4",4.32173303325,5.1035356505,4.29781330025
"45","ABCC5",5.330223021,4.81499541566667,4.934135684
"46","ABCC8",2.672369077,2.65781099,2.755968035
"47","ABCC9",2.5152241046,2.4553217636,2.2026104824
"48","ABCD1",2.973734353,3.3961132425,3.017378584
"49","ABCD2",2.76011757,3.007466403,3.286593588
"50","ABCD3",6.8489543545,7.0636284625,7.2659914485
"51","ABCD4",4.964195073,4.9128373055,4.950587295
"52","ABCE1",7.472010888,7.2386731755,7.6325759925
"53","ABCF1",7.822746734,7.823227841,7.979952345
"54","ABCF2",5.32000437725,5.33304530375,5.50934687725
"55","ABCF3",5.592057358,5.825893611,6.15776207
"56","ABCG1",3.8085774405,4.0639630865,3.433768676
"57","ABCG5",2.178681893,2.38871011,2.187965326
"58","ABCG8",2.463174702,2.975686302,2.746931913
